Fecha,prcp,Valor,mes,periodo
1980-01-07 12:00:00,0.0,1.055840251,1,c
1980-01-08 12:00:00,0.0,0.9223507459999999,1,c
1980-01-09 12:00:00,0.0,0.486101901,1,c
1980-01-10 12:00:00,0.0,-0.162404669,1,c
1980-01-11 12:00:00,0.0,-0.87138056,1,c
1980-01-12 12:00:00,0.0,-1.467110856,1,c
1980-01-13 12:00:00,0.0,-1.799635039,1,c
1980-01-14 12:00:00,0.0,-1.781770003,1,c
1980-01-15 12:00:00,0.0,-1.410641969,1,c
1980-01-16 12:00:00,0.0,-0.7660583990000001,1,c
1980-01-17 12:00:00,0.0,0.013076049,1,c
1980-01-18 12:00:00,0.0,0.766834177,1,c
1980-01-19 12:00:00,0.0,1.355334425,1,c
1980-01-20 12:00:00,0.0,1.690988855,1,c
1980-01-21 12:00:00,0.0,1.753441234,1,c
1980-01-22 12:00:00,0.0,1.584350336,1,c
1980-01-23 12:00:00,0.0,1.26549921,1,c
1980-01-24 12:00:00,0.0,0.888759454,1,c
1980-01-25 12:00:00,0.0,0.528031294,1,c
1980-01-26 12:00:00,0.0,0.222039189,1,c
1980-01-27 12:00:00,26.0,-0.027609417,1,c
1980-01-28 12:00:00,0.0,-0.244067863,1,c
1980-01-29 12:00:00,0.0,-0.45470204200000003,1,c
1980-01-30 12:00:00,0.0,-0.671115445,1,c
1980-01-31 12:00:00,0.3,-0.877668564,1,c
1980-02-01 12:00:00,0.0,-1.033038282,2,c
1980-02-02 12:00:00,0.0,-1.084345586,2,c
1980-02-03 12:00:00,0.0,-0.988621655,2,c
1980-02-04 12:00:00,0.0,-0.7336595140000001,2,c
1980-02-05 12:00:00,0.0,-0.350391797,2,c
1980-02-06 12:00:00,0.0,0.08856112199999999,2,c
1980-02-07 12:00:00,1.3,0.484631895,2,c
1980-02-08 12:00:00,0.0,0.738492775,2,c
1980-02-09 12:00:00,17.0,0.7772390929999999,2,c
1980-02-10 12:00:00,6.2,0.575070923,2,c
1980-02-11 12:00:00,0.0,0.161057573,2,c
1980-02-12 12:00:00,0.0,-0.388157924,2,c
1980-02-13 12:00:00,0.0,-0.9680728670000001,2,c
1980-02-14 12:00:00,0.0,-1.472397236,2,c
1980-02-15 12:00:00,0.0,-1.817522256,2,c
1980-02-16 12:00:00,12.6,-1.9584945169999999,2,c
1980-02-17 12:00:00,0.0,-1.893203861,2,c
1980-02-18 12:00:00,0.0,-1.655222243,2,c
1980-02-19 12:00:00,0.0,-1.298929891,2,c
1980-02-20 12:00:00,0.0,-0.88299139,2,c
1980-02-21 12:00:00,0.0,-0.457651731,2,c
1980-02-22 12:00:00,0.0,-0.059319295,2,c
